sl_no,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
939,90.33,Others,66.86,Others,Arts,61.86,Comm&Mgmt,No,43.94,Mkt&HR,87.5,Not Placed,
940,54.52,Central,82.81,Central,Arts,62.07,Comm&Mgmt,No,55.71,Mkt&Fin,56.89,Not Placed,
941,61.9,Others,94.88,Central,Arts,51.63,Comm&Mgmt,No,81.08,Mkt&HR,80.57,Placed,553019.0
942,88.09,Others,53.02,Central,Science,62.59,Comm&Mgmt,No,68.66,Mkt&HR,62.31,Placed,532067.0
943,58.08,Others,55.12,Central,Science,85.12,Others,Yes,71.82,Mkt&Fin,62.86,Placed,717390.0
944,68.61,Central,71.97,Others,Science,86.48,Sci&Tech,No,74.6,Mkt&Fin,66.51,Placed,644213.0
945,70.24,Others,69.07,Central,Arts,54.39,Sci&Tech,Yes,62.19,Mkt&HR,84.55,Placed,632324.0
946,61.04,Central,73.58,Central,Science,68.32,Sci&Tech,Yes,84.89,Mkt&HR,50.88,Placed,685820.0
947,81.96,Others,47.45,Central,Science,65.25,Others,Yes,81.97,Mkt&Fin,67.36,Placed,676298.0
948,88.31,Central,65.21,Others,Science,69.57,Others,No,81.43,Mkt&HR,77.2,Placed,577467.0
949,89.36,Others,74.15,Others,Science,72.19,Others,No,81.49,Mkt&HR,54.42,Placed,601443.0
950,65.27,Others,74.26,Others,Science,50.81,Comm&Mgmt,No,91.64,Mkt&HR,81.69,Placed,585653.0
951,73.89,Central,77.87,Central,Arts,83.69,Comm&Mgmt,Yes,74.53,Mkt&HR,87.68,Placed,715341.0
952,61.18,Others,81.01,Others,Science,88.95,Comm&Mgmt,No,96.09,Mkt&Fin,53.64,Placed,672025.0
953,61.02,Others,77.08,Central,Arts,76.14,Sci&Tech,No,46.91,Mkt&HR,56.12,Not Placed,
954,57.26,Central,84.51,Others,Arts,76.42,Comm&Mgmt,Yes,76.65,Mkt&HR,88.96,Placed,727362.0
955,92.3,Central,76.24,Others,Science,71.12,Comm&Mgmt,No,81.58,Mkt&HR,57.91,Placed,603872.0
956,89.96,Others,71.88,Others,Arts,63.37,Sci&Tech,No,67.68,Mkt&HR,53.16,Placed,555929.0
957,84.98,Central,75.31,Central,Commerce,55.96,Others,No,56.72,Mkt&HR,88.09,Placed,520346.0
958,73.29,Central,50.06,Others,Arts,73.36,Others,Yes,71.9,Mkt&HR,85.7,Placed,699633.0
959,72.08,Others,58.66,Others,Commerce,51.8,Sci&Tech,No,61.16,Mkt&HR,76.23,Placed,507662.0
960,73.84,Central,71.37,Others,Science,82.98,Others,Yes,92.73,Mkt&Fin,72.06,Placed,762445.0
961,74.15,Others,88.65,Central,Commerce,66.84,Sci&Tech,Yes,60.69,Mkt&Fin,86.77,Placed,648562.0
962,69.56,Central,78.95,Others,Science,66.59,Others,Yes,50.19,Mkt&Fin,76.22,Placed,609190.0
963,55.93,Others,49.52,Others,Science,63.09,Others,No,73.43,Mkt&HR,76.34,Placed,556846.0
964,55.65,Central,74.61,Central,Arts,88.77,Sci&Tech,Yes,62.97,Mkt&Fin,83.75,Placed,734602.0
965,92.85,Others,56.09,Others,Commerce,57.0,Comm&Mgmt,No,45.56,Mkt&HR,76.13,Placed,464089.0
966,71.69,Others,81.7,Central,Arts,56.05,Sci&Tech,Yes,72.76,Mkt&Fin,70.15,Placed,655068.0
967,92.89,Central,86.37,Others,Arts,56.62,Others,No,71.2,Mkt&HR,65.59,Placed,540556.0
968,57.36,Central,74.67,Others,Science,76.34,Sci&Tech,Yes,50.05,Mkt&Fin,70.13,Not Placed,
969,74.95,Others,74.57,Central,Science,89.68,Sci&Tech,No,74.66,Mkt&HR,70.9,Placed,624063.0
970,59.35,Others,61.93,Central,Arts,59.42,Sci&Tech,No,72.91,Mkt&HR,64.43,Not Placed,
971,61.39,Others,67.31,Others,Commerce,86.22,Sci&Tech,No,84.87,Mkt&HR,67.92,Placed,628435.0
972,51.35,Central,88.21,Central,Arts,61.14,Sci&Tech,Yes,60.97,Mkt&Fin,82.07,Placed,632512.0
973,55.35,Others,81.17,Central,Commerce,75.92,Comm&Mgmt,No,54.43,Mkt&HR,66.66,Placed,544739.0
974,91.26,Others,70.99,Central,Arts,51.62,Comm&Mgmt,No,95.17,Mkt&HR,51.02,Placed,590652.0
975,64.47,Central,63.41,Others,Commerce,69.83,Comm&Mgmt,No,72.55,Mkt&Fin,61.32,Placed,563705.0
976,77.37,Central,47.52,Others,Arts,76.18,Sci&Tech,Yes,41.57,Mkt&HR,59.27,Not Placed,
977,70.93,Central,52.15,Others,Arts,71.45,Sci&Tech,No,87.6,Mkt&HR,81.74,Placed,618253.0
978,68.02,Others,54.65,Central,Commerce,59.51,Others,Yes,51.41,Mkt&HR,67.97,Placed,583399.0
979,73.93,Central,63.67,Central,Science,83.14,Sci&Tech,Yes,85.59,Mkt&HR,61.21,Placed,756603.0
980,58.43,Central,92.21,Others,Science,88.81,Sci&Tech,No,80.9,Mkt&HR,82.43,Placed,672193.0
981,94.49,Others,70.26,Others,Commerce,68.37,Comm&Mgmt,No,96.19,Mkt&HR,50.77,Placed,608564.0
982,86.82,Central,56.74,Others,Science,75.44,Sci&Tech,No,96.0,Mkt&Fin,56.97,Placed,666748.0
983,83.37,Others,50.29,Others,Arts,81.62,Comm&Mgmt,No,55.92,Mkt&HR,83.08,Placed,596618.0
984,71.09,Others,61.92,Others,Commerce,59.66,Others,Yes,84.45,Mkt&Fin,72.03,Placed,684987.0
985,56.88,Others,85.79,Central,Arts,84.58,Sci&Tech,No,58.38,Mkt&HR,80.95,Placed,587302.0
986,91.43,Others,64.17,Central,Arts,61.21,Others,No,76.49,Mkt&Fin,83.53,Placed,542605.0
987,65.36,Others,83.63,Others,Science,81.03,Comm&Mgmt,Yes,74.67,Mkt&HR,87.68,Placed,713896.0
988,52.25,Others,85.14,Others,Science,54.48,Comm&Mgmt,No,43.16,Mkt&HR,52.54,Not Placed,
989,65.41,Others,50.54,Others,Science,61.54,Comm&Mgmt,No,40.3,Mkt&HR,81.97,Placed,494552.0
990,85.75,Central,75.43,Others,Commerce,71.34,Comm&Mgmt,No,43.35,Mkt&Fin,78.35,Placed,533094.0
991,78.02,Central,92.95,Central,Science,71.0,Sci&Tech,Yes,47.42,Mkt&Fin,58.28,Placed,646890.0
992,83.79,Others,65.11,Central,Arts,84.02,Sci&Tech,No,54.94,Mkt&Fin,87.27,Placed,578881.0
993,85.71,Central,47.55,Others,Commerce,89.85,Others,No,92.6,Mkt&Fin,66.17,Placed,656617.0
994,59.54,Others,91.17,Others,Arts,54.29,Sci&Tech,No,70.08,Mkt&HR,85.5,Placed,547231.0
995,91.57,Others,89.18,Central,Arts,60.86,Others,No,86.22,Mkt&Fin,74.2,Placed,585689.0
996,69.71,Others,71.11,Central,Arts,64.3,Comm&Mgmt,No,88.62,Mkt&Fin,71.07,Placed,598418.0
997,78.76,Central,72.61,Others,Science,69.16,Others,No,82.63,Mkt&Fin,56.38,Placed,601403.0
998,50.1,Central,55.59,Others,Science,69.76,Comm&Mgmt,No,62.7,Mkt&Fin,86.57,Placed,577326.0
999,94.7,Central,85.97,Others,Science,84.25,Comm&Mgmt,No,90.1,Mkt&HR,72.27,Placed,671414.0
1000,62.64,Others,69.93,Central,Arts,80.82,Comm&Mgmt,No,83.04,Mkt&HR,50.24,Placed,642044.0
